,Source,Time Stamp,Tweet Text,Compound Score,Positive Score,Neutral Score,Negative Score
51,BBCWorld,Tue Jul 31 21:28:39 +0000 2018,South Africa to amend constitution to allow land expropriation https://t.co/uPKuWAejmT,0.2263,0.174,0.826,0.0
52,BBCWorld,Tue Jul 31 21:10:47 +0000 2018,'A horrendous battle': Dry conditions fuel California wildfires https://t.co/lipl6doKJX,-0.5859,0.0,0.678,0.322
53,BBCWorld,Tue Jul 31 19:44:26 +0000 2018,The unlikely US box office stars https://t.co/28KqKfpark,0.0,0.0,1.0,0.0
54,BBCWorld,Tue Jul 31 19:01:02 +0000 2018,The face behind a stock image: How I gave away my face for free https://t.co/30VPyr7uqN,0.5106,0.216,0.784,0.0
55,BBCWorld,Tue Jul 31 18:54:46 +0000 2018,"RT @BBCNorthAmerica: Calling all mothers! We’re working on a video about going back to work after having a baby, and we want to hear about…",0.1511,0.067,0.933,0.0
56,BBCWorld,Tue Jul 31 18:13:36 +0000 2018,Central African Republic: Russian journalists die in ambush https://t.co/20UsopoIQL,-0.5994,0.0,0.672,0.328
57,BBCWorld,Tue Jul 31 17:10:53 +0000 2018,Vancouver man shoved into oncoming traffic https://t.co/FxaOTk1B7y,0.0,0.0,1.0,0.0
58,BBCWorld,Tue Jul 31 16:31:23 +0000 2018,"Car crush TV 😱

60 luxury vehicles destroyed in Philippines smuggling crackdown https://t.co/B7JqzYrWT8 https://t.co/dWA5sY3GsM",-0.7845,0.0,0.559,0.441
59,BBCWorld,Tue Jul 31 16:17:37 +0000 2018,Florida paramedics 'racially profiled' dying woman https://t.co/Qc2Jm2KD8K,0.0,0.0,1.0,0.0
60,BBCWorld,Tue Jul 31 15:54:56 +0000 2018,Full story: Shark 'recovering' after aquarium pram kidnap https://t.co/NjP7ki3LNh,0.0,0.0,1.0,0.0
61,BBCWorld,Tue Jul 31 15:41:32 +0000 2018,"Disguised as a baby and stolen from an aquarium 🦈

Now Miss Helen the horn shark is back where she belongs https://t.co/W6oQaqiiY1",-0.7096,0.0,0.711,0.289
62,BBCWorld,Tue Jul 31 15:38:52 +0000 2018,"RT @BBCNorthAmerica: Have you been asked to relinquish your duties as a bridesmaid? Or, have you disinvited your bridesmaid or a guest from…",0.0,0.0,1.0,0.0
63,BBCWorld,Tue Jul 31 15:27:59 +0000 2018,Mexico's Popocatépetl volcano spews ash high into the sky https://t.co/iYESDgTIgj,0.0,0.0,1.0,0.0
64,BBCWorld,Tue Jul 31 14:37:16 +0000 2018,Missing Malaysia flight MH370: Aviation chief quits over failings https://t.co/HMDmiqj3OJ,-0.6597,0.0,0.597,0.403
